#separator:tab
#html:true
#tags column:3
Welche Teilbereiche der IT-Forensik gibt es?	<ul><li>Datenträger Forensik</li><li>Mobil Forensik</li><li>Netzwerk Forensik</li><li>Mulitmedia Forensik</li><li>Cloud Forensik</li><li>Memory Forensik</li><li>Betriebssystem Forensik</li><li>IoT (Embedded) Forensik</li><li>Malware Forensik</li></ul>	
Welche Arten von Daten gibt es?	"<b>Strukturierte Daten</b><br><ul><li>Die Daten weisen eine gleichartige Struktur auf.</li><li>Typischerweise Datenbanken oder Buchhaltungsdaten</li></ul><b>Unstrukturierte Daten</b><br><ul><li>Keine Struktur zur automatisierten Analyse nutzbar</li><li>Beispielsweise Dokumente, beliebige Texte, Grafiken</li></ul><b>Semi-Strukturierte Daten</b><br><ul><li>Daten können eine Struktur aufweisen</li><li>Benötigen Analyse vor der Verarbeitung</li><li>Beispielsweise HTML, XML, Protokolldateien</li></ul><div><img src=""paste-e5bb834701d2526720d460965fe73acd48be2085.jpg""><br></div>"	
Wo kann die IT-Forensik unterstützen?	<ul><li>Waren Dokumente mit bestimmten Inhalt vorhanden?</li><li>Hat ein Mitarbeiter kriminelle Handlungen begangen?</li><li>Datendiebstahl</li><li>Wirtschaftskriminalität</li><li>Cyber-Kriminalität</li><li>Kartellrecht</li><li>Unterstützung der Internen Revision</li><li>(In-/ Co-und Out-Sourcing)</li><li>Als Sachverständiger für die Staatsanwaltschaft oder bei Privatgutachten zur Beantwortung spezifischer Fragestellungen</li></ul>	
Welche Ziele kann eine Ermittlung haben?	<ul><li>Erkennen der Methodik bzw. Schwachstelle die zum eigentlichen Vorfall / Incident geführt haben</li><li>Ermittlung des entstandene Schadens</li><li>Identifikation des Angreifers</li><li>Sicherung der Beweise für juristische Aktionen (gerichtsverwertbar)</li><li>Strafrechtlich: Kinderpornographie</li><li>Zivilrechtlich: Industriespionage, Wirtschaftskriminalität</li><li>Rekonstruktion gelöschter Daten</li></ul>	
Was ist Forensik in der IT?	<ul><li>Forensik im alltäglichen Gebrauch bedeutet die Identifikation, Analyse und Rekonstruktion von kriminellen Handlungen.</li><li>In der IT wird die Forensik angewandt, um verdächtige Vorfälle im Zusammenhang mit IT-Systemen zu analysieren.</li><li>Das Ziel der IT-Forensik ist es, einen Sachverhalt (z.B. kriminelle Handlung) soweit wie möglich nachweisen bzw. rekonstruieren zu können.</li></ul>	
Welche unterschiedliche Ausprägungen gibt es in der IT-Foresenik?	<ul><li>Datenträger-Forensik</li><li>Mobil-Forensik</li><li>Cyber-Forensik</li><li>eDiscovery</li></ul>	
Welche Fragestellung im Zuge der Ermittlung gibt es?	<ul><li>Was ist passiert?</li><li>Welche Systeme wurden kompromittiert bzw. wo können zusätzliche Information zu dem Vorfall sichergestellt werden.</li><li>Wie sollte der kompromittierte Rechner und die zugehörige Umgebung gesichert werden?</li><li>Welche Methoden können für die Sammlung von Beweisen verwendet werden?</li><li>Wo sucht man nach Anhaltspunkten und wie können die Daten analysiert werden?</li><li>Wie wird der Angriff oder die Straftat verifiziert?</li></ul>	
Für was wird Computerforensik eingesetzt?	<ul><li>Computerforensische Analyse von Logdateien um Zugriffe auf ein System nachzuweisen</li><li>Nachweis erbringen, dass Daten auf einem Computersystem vorhanden sind (E-Mail)</li></ul>	
Welche weitere Einsatzbereiche für Computerforensik gibt es?	Klärung von Streitfragen zwischen Personen und Unternehmen:<br><ul><li>• Waren Dokumente mit bestimmten Inhalt vorhanden.</li><li>• Hat ein Mitarbeiter kriminelle Handlungen begangen</li><li>• Datendiebstahl</li><li>• Wirtschaftskriminalität</li><li>• Kartellrecht</li></ul>Als Sachverständiger für die Staatsanwaltschaft oder bei Privatgutachten:<br><ul><li>• Zur Beantwortung spezifischer Fragestellungen</li></ul>	
Wie läuft eine typische interne Untersuchung ab?	"<img src=""paste-fccf2d4561a4e1da3c8f0cf8c2aafe75bb14edc5.jpg"">"	
Wie läuft eine typischer Incident-Response-Prozess ab?	"<img src=""paste-90847af23e884bf66cd8e22aff72027953cc7899.jpg"">"	
Wie läuft ein typischer eDiscovery-Prozess ab?	"<img src=""paste-6e219b3c7bc12da35965dfbee7288a9b7ffd15ac.jpg"">"	
Wie läuft eine Datenreduktion ab?	"<img src=""paste-130b5787902641ffa01b417bae20b060392004ee.jpg"">"	
Wie läuft ein EDRM-Prozess ab?	"<img src=""paste-7374cf5f3f2f976352677f50eba375f5739402ae.jpg"">"	
Was passier bei der Identifizierung im EDRM-Prozess?	<b>Identifizierung und Katalogisierung</b><br><ul><li>• Datenmaterial bzw. Unterlagen werden identifiziert und katalogisiert</li><li>• um eine Aufstellung aller Beweismittel anzufertigen</li><li>– Datenquellen (E-Mail Server, Fileserver, Notebooks, Mobiltelefone, etc.)</li><li>– Custodians</li><li>– Zeiträume</li></ul>	
Welche Anforderungen an die Qualität gibt es im EDRM-Prozess?	<b>Anforderungen an die Qualität</b><br><ul><li>Beweismittel und Protokolldaten vor Manipulation und Datenverlust schützen</li><li>Gerichtsverwertbare forensische Datensicherungen der betroffenen Computersysteme sowie mobiler Geräte</li><li>Vieraugenprinzip</li><li>Lückenlose Dokumentation der Beweissicherung (Chain-of-Custody)</li><li>Höchst mögliche Qualität (bit-weise Sicherung unter Verwendung eines Writeblockers)</li><li>Erstellen von digitalen Prüfsummen (Hash) der gesicherten Daten zur, Sicherstellung der Integrität</li><li>Verschlüsselung der Daten bzw. physische Versiegelung der Datenträger</li></ul>	
Wie läuft die Datenverarbeitung im EDRM-Prozess ab?	<b>Datenverarbeitung</b><br><ul><li>Aufbereitung der sichergestellten Beweismittel / Digitale Images</li><li>Wiederherstellung gelöschter Daten</li><li>Deduplizerung redundanter Daten</li><li>OCR (Texterkennung) in Bilddokumenten (z.B. Fax, Scans, …)</li><li>Indexierung der elektronischen Daten</li></ul>	
Wie läuft die Analyse im EDRM-Prozess ab?	<b>Analyse</b><ul><li>Filterung anhand von Metadaten (Zeit, Dateigröße, Datentyp etc.)</li><li>Identifizierung und Öffnung verschlüsselter Daten</li><li>Erkennung der Sprache der einzelnen Objekte</li><li>Volltextsuche Suchbegriffe können verknüpft werden</li><li>Predictive Coding (Maschinen Intelligenz zum Anlernen und Filtern relevanter Daten)</li></ul>	
Wie läuft die Durchsicht der Daten in der eDiscovery-Plattform im EDRM-Prozess ab?	<b>Durchsicht der Daten in der eDiscovery-Plattform</b><ul><li>Reduzierte Datenmenge wird für die Recherche bereitgestellt</li><li>Effizientes Review mit Tagging-Strukturen, virtuelle Folder, etc.</li><li>Rollen und Berechtigungskonzept</li><li>Schwärzung von Datenbereichen</li></ul>	
Wie läuft die Bereistellung der Daten und Darstellung der Egenisse beim EDRM-Prozess ab?	<b>Bereitstellung der Daten</b><ul><li>Export der Daten und Unterlagen im Originalformat oder als PDF Dokument</li><li>Einbetten eindeutiger Dokumenten-IDs und fortlaufender Nummern zur einfachen Referenzierung und zur Vorlage bei Gericht</li></ul><b>Darstellung der Analyse-Ergebnisse</b><ul><li>Berichtslegung ist faktenorientiert, strukturiert und gerichtsverwertbar</li><li>Erstellen von detaillierten Berichten über die Erkenntnisse</li><li>Präsentation der Ergebnisse vor Gericht oder anderen Institutionen</li><li>Spezifische Auswertungen für spezielle forensische Anforderungen</li><li>abhängig von der Fragestellung</li></ul>	
Was befindet sich auf einem typischen Computer?	<ul><li>Web-Browser (z.B. Google Chrome, Mozilla Firefox etc.)</li><li>Microsoft Outlook oder eine andere Art von E-Mail-Software</li><li>Microsoft Office</li><li>Kommunikations-Software wie Skype, Microsoft Teams etc.</li><li>Texteditoren (z.B. Notepad++)</li><li>Antiviren-Software</li><li>VPN</li></ul><b>Remote-Access-Software (z.B. Citrix Workspace oder Remotedesktopverbindung)</b><br><ul><li>Diese Applikationen hinterlassen unterschiedlichste Artefakte</li><li>OST-/PST-Dateien</li><li>Protokolldaten</li><li>etc.</li></ul>	
Welche unterschiedlichen Aktionen bzw. Analysehandlung können mithilfe der typischen Artefakte auf einem Computer durchgeführt werden?	<ul><li>Wiederherstellen gelöschter Dateien</li><li>Wiederherstellen gelöschter E-Mail-Nachrichten</li><li>Analyse von unterschiedlichsten Applikations-Logs</li><li>Analyse von Registry-Einträgen</li><li>Analyse von Prozessinformationen</li><li>etc.</li></ul>	
Was sind typische anfallende Daten auf einem Mobiltelefon?	"<img src=""paste-1bc2fdaa4aaf94b9850ebab13f77d53c32274a4e.jpg"">"	
Welche Outlook-Dateien kennst du und was kann man mit diesen Anfangen?	<b>• PST-Dateien</b><br><ul><li>– Persönlicher Speicherordner wo Kopien von E-Mail-Nachrichten, Kalenderereignisse und E-Mail-Regeln gespeichert werden</li><li>– Kann auch zur Erstellung von Sicherungskopien oder zum Exportieren von Elementen des E-Mail-Kontos verwendet werden</li><li>– Verwendung für POP3-Konten, jedoch in Outlook 2013 auch für IMAP- oder MAPI-Konten</li><li>– Seit Outlook 2016 werden E-Mails von IMAP- und MAPI-Konten in OST-Dateien gespeichert</li></ul><b>• OST-Dateien</b><br><ul><li>– Speichert Kopien von Elementen von IMAP- oder MAPI-Konten</li><li>– OST-Dateien werden automatisch mit dem entsprechenden Mail-Server synchronisiert (bei bestehender Internetverbindung)</li></ul><b>• Unterschied zu PST-Dateien</b><br><ul><li>– PST-Dateien enthalten die tatsächlichen Daten, wohingegen OST-Dateien die zwischengespeicherten Dateien enthalten.</li><li>– PST-Dateien können z.B. auf andere Computer verschoben und importiert werden</li></ul><b>• Interesse für die Forensik</b><br><ul><li>– Wiederherstellen von gelöschten E-Mail-Nachrichten</li><li>– Wiederherstellen von gelöschten Kalenderereignissen</li></ul>	
Was ist die Windows-Registry und wie ist sie aufgebaut?	<ul><li>Ähnlich zu einem Dateisystem: Daten werden hierarchisch abgespeichert</li><li>Besteht aus Schlüsseln (Keys) und Einträgen (Entries oder Values)</li><li>Schlüssel: ähnlich wie Ordner auf der Dateiebene und beinhalten weitere Einträge und Unterschlüssel</li><li>Eintrag: Key-Value-Pair, wobei der Wert dieses Paares unterschiedliche Datentypen aufweisen kann</li><li>Standardwerte sind unbenannt, d.h. Einträge müssen nicht zwingen einen Namen besitze</li></ul>	
Welche Hautpschlüssel und welche gespeicherte Daten gibt es in der Windows-Registry?	<b>• HKEY_CLASSES_ROOT (HKCR)</b><br><ul><li>– Informationen zu Dateiendungen und unterstützte Dateitypen</li></ul><b>• HKEY_CURRENT_USER (HKCU)</b><br><ul><li>– Informationen des aktuell angemeldeten Benutzers</li><li>– Spiegelung von HKEY_USERS\&lt;Benutzer-SID&gt;</li></ul><b>• HKEY_LOCAL_MACHINE (HKLM)</b><br><ul><li>– Das ganze System betreffende Informationen, nicht nur auf Benutzer</li><li>bezogen</li></ul><b>• HKEY_USERS (HKU)</b><br><ul><li>– Schlüssel der vorhandenen Benutzerkonten am System</li><li>– Jeder Benutzer hat einen eigenen Security Identifier (SID)</li></ul><b>• HKEY_CURRENT_CONFIG (HKCC)</b><br><ul><li>– Spiegelung von HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Hardware</li><li>Profiles\Current</li></ul>	
Warum Memory Forensic?	<b>ALLES in einem Betriebssystem durchläuft den Arbeitsspeicher in irgendeiner Art und Weise!</b><br><ul><li>Prozesse und Threads</li><li>Malware (inkl. Rootkits)</li><li>Netzwerkverbindungen, -Sockets, -URLs, IP-Adressen</li><li>Filehandles / offene Dateien</li><li>Benutzer-“Content“</li><li>Passwörter, gecachte Informationen, Zwischenablage etc.</li><li>Schlüsselmaterial (z.B. Verschlüsselungsschlüssel)</li><li>Software-und Hardware-Konfigurationsinformationen</li><li>WINDOWS-Registry-Schlüssel und -Protokolle (z.B. Event Logs)</li></ul>	
Welche Vorteile bietet die Memory Forensics?	<b>Gute Fundstelle um maliziöse Aktivitäten von Software zu identifizieren</b><ul><li>Möglichkeit zur Betrachtung der laufenden Systemkonfiguration / des laufenden Systemzustandes</li><li>Möglichkeit zur Identifizierung von Inkonsistenzen oder Widersprüchen im System</li><li>Anti-Forensik-Mechanismen (Packer, Obfuscators, Rootkits etc.) können oftmals umgangen werden, oder sind nicht vorhanden</li></ul><b>Analysemöglichkeiten und Nachverfolgung von kürzlichen Aktivitäten am System</b><ul><li>Identifizierung kürzlicher Aktivität im jeweiligen Kontext</li><li>Nachverfolgung von Aktivitäten Benutzern oder Angreifern</li></ul><b>Sammlung von Informationen/Beweisen, welche sonst nicht aufzufinden sind</b><ul><li>Memory-only-Malware</li><li>Internetaktivitäten<br></li><li>Chat-/Nachrichtenverläufe<br></li><li>etc.<br></li></ul>	
Welche Schritte durchläuft ein Memory-Forensics-Prozess?	<ol><li>Identify rogue processes</li><li>analyze process DLLs and handles</li><li>review network artifacts</li><li>Look for evidence of code injection</li><li>check for signs of a rootkit</li><li>dump suspicious processes and drivers</li></ol>	
Was ist ein Hard Disk Drive (HDD)?	<div><br></div><ul><li>Magnetisches Speichermedium</li><li>Rotierende Scheibe zur Speicherung</li><li>Speicherung in magnetischer Form</li><li>Aufteilung in Sektoren</li></ul>	
Was ist ein Solid State Drive (SSD)?	<ul><li>Elektronisches Speichermedium</li><li>Halbleiterbausteine</li><li>Speicherung in Flash-Zellen</li><li>SLC und MLC Technologie</li></ul>	
Welche unterschiedliche Interfaces gibt es bei Speichertechnologie?	<b>ATA -Advanced Technology Attachment with Packet Interface (ATA/ATAPI) -1989</b><br><ul><li>Integrated Drive Electronics (IDE)</li></ul><b>SATA -Serial ATA</b><br><ul><li>1.5 Gbit/s, 3.0 Gbit/s, 6.0 Gbit/s –2002/2005/2008</li><li>External SATA (eSATA) -2005</li><li>Mini-SATA (mSATA) –2009</li><li>External Power over Serial ATA (eSATAp) -2008</li></ul><b>SCSI -Small Computer System Interface -1986</b><br><ul><li>Ursprünglich eine standardisierte parallele Schnittstelle für Datenübertragung. Mittlerweile als Protokoll für verschiedene Transportmechanismen (z.B.: SATA oder SAS)</li></ul><b>SAS -Serial Attached SCSI:</b><br><ul><li>SFF-8482, SFF-8484, SFF-8470, SFF-8087 -2004</li></ul><b>Spezial: Low-Insertion-Force (LIF), Zero-Insertion-Force (ZIF)</b><br><ul><li>eingesetzt bei 1,8“ Festplatten</li></ul>	
Erkläre die M.2 Schnittstellle.	"<ul><li>M.2 ist eine Spezifikation für interne Erweiterungskarten auf PC Mainboards und Notebooks. M.2 wurde als Nachfolger der mSATA Schnittstelle konzipiert.<br></li><li>Der M.2-Standard beschreibt Varianten mit bis zu vier PCI-Express-Lanes, einem SATA Revision 3.x (6 Gbit/s) und/oder einem USB 3.0 Port –alles über einen Anschluss. Damit kann man sowohl PCI-Express als auch SATA-Speicher per M.2 anschließen. Anjedem Port können beide Bussysteme auch parallel genutzt werden.</li><li>M.2 ist ideal für den Anschluss einer SSD im kompaktenmobilen Gerätgeeignet, wie beispielsweise im Note-und Ultrabook, aber auch im Desktop PC.</li></ul>Formfaktoren und Keys<br><ul><li>Die Form der M.2 Anschlüsse unterscheidet sich danach, welche Schnittstellen der M.2 Port bietet. Je nach</li></ul><br><img src=""paste-b73ee8f91cde84642553a89c396745afa6548f0e.jpg""><br>"	
Erkläre den physischen Aufbau einer HDD.	"<ul><li>Rotierbar gelagerten Scheiben (Platter)</li><li>Achse oder auch Spindel</li><li>Elektromotor als Antrieb für die Scheiben</li><li>Antrieb für die Schreib-/Leseköpfe</li><li>Bewegliche Schreib-/Leseköpfe (Heads)</li><li>Jeweils ein Lager für Platter und für die Schreib-/Leseköpfe (auch Magnetlager)</li><li>Der Steuerelektronik für Motor-und Kopfsteuerung</li><li>Einem DSP für Verwaltung, Bedienung des Interfaces, Steuerung der DDR-RAM für Firmware, temporäre Daten und Festplattencache</li><li>Der Schnittstelle zum Ansprechen der Festplatte von außen</li></ul><br><img src=""paste-0f47a48d22535fc47044484ebf6287deb9e191a2.jpg""><br>"	
Wie funktioniert die HDD-Adressierung Cylinder Head Sector?	<b>CHS -Cylinder Head Sector</b><br><ul><li>Adressierung nach Anzahl der Zylinder, Köpfe und Sektoren</li><li>Adressierung für andere Speichermedien nicht anwendbar (Tapes)</li><li>Veraltet !!!</li><li>Heute -&gt; LBA Adressierung</li></ul>	
Wie funktioniert die HDD-Adressierung Logical Block Addressing?	"<ul><li>Blöcke werden unabhängig von derFestplattengeometrieadressiert</li><li>28-bit bei ATA-1 (1994) / entspricht ca. 128 GiB bei 512Byte Blöcken</li><li>48-bit mit ATA-6 (2003) / entspricht ca. 128PiB</li><li>Zone bit recording</li><li>äußere Spuren enthalten mehr Blöcke als innere</li><li>Datentransferrate ist außen am höchsten</li></ul><br><img src=""paste-d1e926f37d08235335103d9efbfcc44bb61f1d0d.jpg""><br>"	
Erkläre das Advanced Format - 4k Format für HDD-Adressierung.	"<b>Advanced Format -4k Format</b><br><ul><li>Bezeichnung für Festplatten mit einer physischen Sektorgröße von 4 KByte</li><li>Seit 2011 quasi Standard</li></ul><b>Vorteile:</b><br><ul><li>Optimierte Formateffizienz durch Verringerung des Overheads für Fehlerkorrekturcode</li><li>Zuverlässigkeit und Fehlerkorrektur</li></ul><b>Auswirkungen:</b><br><ul><li>512-Byte-Sektoremulation: Lesezugriff ist relativ einfach, Schreiben jedoch kompliziert</li><li>Partitionen müssen immer an 4K Blöcken ausgerichtet sein; ansonsten Performanceeinbußen</li></ul><div><b>Advanced Format</b><br><ul><li>erlaubt mehr Nutzdaten zu speichern weil der Overhead geringer ist</li></ul><div><img src=""paste-b3633e968ee5a4ed7086ffd0e19c8c6780bfd952.jpg""><br></div></div>"	
Wie funktioniert die Longitudinal Magnetic Recording Speichertechnologie?	● Bei LMR wird horizontal auf der Scheibe, genannt<br>Platter, magnetisiert.	
Wie funktioniert die Perpendicual Magnetic Recording Speichertechnologie?	<ul><li>● Um die Dichte der möglichen Aufzeichnung zu erhöhen, magnetisiert man bei PMR senkrecht auf dem Platter.</li><li>● Der hierzu verwendete Schreib-/Lesekopf unterscheidet sich auch im Aufbau zum klassischen LMR-Kopf, welcher in seiner Arbeitsweise einem Tonband-Kopf ähnelt.</li><li>● Durch das senkrechte Positionieren der magnetischen Momente wird eine dreifach höhere Datendichte im Vergleich zum LMRAufzeichnungsverfahren erreicht.</li></ul>	
Wie funktioniert die Shingled Magnetic Recording Speichertechnologie?	<ul><li>● Bei SMR werden die Daten überlappend geschrieben.</li><li>● Der Schreibkopf schreibt so nah an die vorhergehende Bahn, dass diese gerade noch so lesbar bleibt. Dabei werden aber die Daten in der folgenden Bahn überschrieben.</li><li>● Somit muss nach erfolgreichem Schreiben einer Bahn ggfs. die nächste Bahn ebenso neu geschrieben werden.</li><li>● Der Vorteil dieser Technologie ist, dass, bedingt durch den geringeren Abstand zwischen den Spuren, die Speicherdichte im Vergleich zu PMR noch weiter gesteigert werden kann.&nbsp;</li></ul>	
Erkläre Energy Assisted Magnetic Recording.	HAMR (Heat Assisted Magnetic Recording) und MAMR (Microwave Assisted Magnetic Recording) sind Technologien zur Erhöhung der Kapazität von Festplatten. Sie unterstützen den Schreibkopf einer Festplatte, indem sie die zur Magnetisierung notwendige Feldstärke verbindern. Der Schreibkopf kann kleiner ausfallen, die Spuren werden noch dünner und die Speicherdichte steigt.	
Wie ist ein Solid State Drive (SSD) aufgebaut?	"<ul><li>SSDs enthalten keine beweglichen Teile</li><li>Die Daten werden nicht sequenziell auf den Chips gespeichert. Zur Datenrettung müssen die Ingenieure die Daten wieder erneut zuordnen –ein ähnlich komplexer Vorgang, wie bei einer RAID-Datenrettung</li><li>Speichereinheiten sind</li><li>Pages (4/8) KB</li><li>Blöcke 256KB –2MB</li></ul><div><img src=""paste-ca5c90dfda4bb4ec71ecc99343daf869601ac66c.jpg""><br></div>"	
Wie sieht die Architektur von einer SSD aus?	"<img src=""paste-1eee42a54916a5655a9407c3f23b787918eede42.jpg"">"	
Wie funktioniert der Speicherzugriff bei einer SSD?	"<img src=""paste-e231d3479230e50ab4f73f174ffd19d13df4a801.jpg"">"	
Was ist eine Page, ein Block und ein Chip bei einer SSD?	"<img src=""paste-c3e9db675b7b614c3d775d39b6a47202968182f7.jpg"">"	
Wie funktioniert die SSD-Garbage Collection?	"<ul><li>Daten werden in Pages und Blöcken abgelegt</li><li>Pages können nicht individuell gelöscht oder überschrieben werden</li><li>Pages mit geändertem Inhalt werden in einem anderen, freien Bereich abgelegt</li></ul><div><img src=""paste-c9146ae96b1431a5154319b4c193ce37091a2ad8.jpg""><br></div>"	
Was versteht man unter SSD-Wear Leveling?	"Wear Leveling:<br><ul><li>Mittels Wear Leveling Algorithmen versucht man die Abnutzung/Verschleiß (engl. wear) der Speicherzellen gleichmäßig zu verteilen</li><li>Unterschiedliche Nutzung der Speicherzellen (Pages) je nach Art der Speichernutzung bzw. Zugriff</li></ul><br><img src=""paste-f8b104605c5b926da55150eb6dd7ef3dce97b0f1.jpg""><br>"	
Worin unterscheiden sich Dynamisches Wear Leveling und Statisches Wear Leveling?	"<b>Dynamisches Wear Leveling</b><br><ul><li>verteilt die Daten bei Schreibzugriffen (dynamisch) auf jene Speicherbereiche welche am wenigsten genutzt sind</li></ul><b>Statisches Wear Leveling</b><br><ul><li>verschiebt auch statische Daten auf andere Blöcke</li><li>kostet etwas Performance, vermeidet aber dass Zellen mit statischen Daten nur 1x während der gesamten SSD-Lebensdauer beschrieben werden, während andere Zellen schon ausfallen</li><li>die SSD-Lebensdauer ist damit höher als bei dynamischen Wear Leveling</li></ul><div><img src=""paste-55ce0dfe54f587060b4692429f6d732d8463f167.jpg""><br></div>"	
Was ist SSD-TRIM und welche Vorteile bietet es?	<b>TRIM</b><br><ul><li>ATA Befehl zur Freigabe von nicht mehr benötigten Speicherzellen (unterstützt die Garbage Collection)</li><li>Betriebssystem sendet Informationen an den Controller der SSD damit dieser weiß, welche Seiten nicht mehr benötigt werden</li><li>Die Inhalte werden beim nächsten Schreibzyklus nicht mehr mitgeschrieben</li><li>Blöcke werden beim nächsten Löschzyklus freigegeben</li></ul><b>Vorteile:</b><br><ul><li>Anzahl der zusätzlichen Schreibvorgänge im Zuge der Garbage Collection</li><li>Höherer Datendurchsatz da weniger Daten bei der GC berücksichtigt werden müssen</li><li>Höhere Lebensdauer der Speicherzellen</li></ul>	
Was ist so besonders an ATA-TRIM-Kommando?	<b>ATA-TRIM-Kommando</b><br><ul><li>Der Kontroller (Firmware) der SSD weiß welche Speicherbereiche freigegeben wurden und leert den Speicher</li><li>Unterschiedliche Implementierung der Funktion verstärkt das Problem in der Forensik</li></ul>	
Wie löscht man eine SSD/HDD sicher?	<b>Secure Erase</b><br><ul><li>Speicherbereiche einer SSD werden automatisch gelöscht und auf den Ursprungszustand zurückgesetzt<br></li><li>Eine Wiederherstellung der Daten ist somit nicht möglich<br></li><li>Bei nicht korrekter Implementierung der Funktion durch den Hersteller bleiben die Daten im Restspeicher eventuell enthalten<br></li><li>Bad Blocks werden von den meisten Herstellern nicht gelöscht<br></li></ul><b>Sicheres Überschreiben</b><br><ul><li>Bei HDDs können Daten beispielsweise mit 0en oder Random-Data überschrieben werden<br></li><li>EINMAL Überschreiben ist ausreichend<br></li><li>SSDs können nicht sicher überschrieben werden, da aufgrund des Wear-Leveling Mechanismus nicht feststellbar ist, welche Speicherzellen angesprochen werden<br></li></ul>	
Was ist eine Host Protected Area (HPA) bei HDD?	<b>Host Protected Area (HPA)</b><ul><li>HPA ermöglicht es, einen Bereich der Festplatte zu verstecken.</li><li>Wurde mit ATA-4 Standard eingeführt</li><li>Für BIOS, Betriebssysteme und Programme meist nicht sichtbar und kann nicht verändert werden</li><li>Primäre Verwendung für Systemwiederherstellungs-und Konfigurationsdaten, die auch beim Formatieren der Festplatte erhalten bleiben</li><li>Im Bereich der Forensik interessant, da</li><li>eventuell Beweise innerhalb dieser Bereiche versteckt werden</li><li>Kann temporär entfernt werden -&gt; forensische Sicherung</li></ul>	
